sofascore_slug,transfermarkt_url,player_name,season,league,position_label,heatmap_filename,General_MP,General_MIN,General_GLS,General_AST,General_ASR,Shooting_MP,Shooting_GLS,Shooting_TOS,Shooting_SOT,Shooting_BCM,Team play_MP,Team play_AST,Team play_KEYP,Team play_BCC,Team play_SDR,Passing_MP,Passing_APS,Passing_APS%,Passing_ALB,Passing_LBA%,Passing_ACR,Passing_CA%,Defending_MP,Defending_CLS,Defending_YC,Defending_RC,Defending_ELTG,Defending_DRP,Defending_TACK,Defending_INT,Defending_BLS,Defending_ADW,Additional_MP,Additional_GLS,Additional_xG,Additional_AST,Additional_xA,Additional_GI,Additional_xGI
leite-diogo/855663,https://www.transfermarkt.com/diogo-leite/profil/spieler/357156,Leite Diogo,24/25,Bundesliga,Centre-Back,leite-diogo_855663_24-25_Bundesliga.png,30,2548,1,2,7.21,30,1,18,8,2,30,2,13,2,10,30,1073,79.2,105,45.5,4,40.0,30,8,3,0,0,17,64,57,25,80,30,1,1.31,2,2.28,3,3.60
leite-diogo/855663,https://www.transfermarkt.com/diogo-leite/profil/spieler/357156,Leite Diogo,23/24,Bundesliga,Centre-Back,leite-diogo_855663_23-24_Bundesliga.png,32,2708,0,0,6.88,32,0,13,4,1,32,0,6,1,6,32,1248,80.5,91,37.3,1,25.0,32,7,6,0,1,26,52,47,22,71,32,0,0.83,0,0.66,0,1.48
leite-diogo/855663,https://www.transfermarkt.com/diogo-leite/profil/spieler/357156,Leite Diogo,22/23,Bundesliga,Centre-Back,leite-diogo_855663_22-23_Bundesliga.png,28,2258,0,1,6.68,28,0,12,0,0,28,1,4,1,1,28,1063,78.6,108,46.2,2,50.0,28,10,6,1,1,13,35,26,14,70,28,0,0.93,1,0.67,1,1.61
leite-diogo/855663,https://www.transfermarkt.com/diogo-leite/profil/spieler/357156,Leite Diogo,21/22,Liga Portugal,Centre-Back,leite-diogo_855663_21-22_LigaPortugalBetclic.png,23,1860,0,0,7.03,23,0,11,4,0,23,0,3,1,3,23,1250,85.8,92,54.1,0,,23,9,1,0,0,10,29,31,15,76,23,0,,0,,0,
lennard-maloney/893962,https://www.transfermarkt.com/lennard-maloney/profil/spieler/392710,Lennard Maloney,23/24,Bundesliga,Defensive Midfield,lennard-maloney_893962_23-24_Bundesliga.png,29,2300,1,1,6.67,29,1,14,3,3,29,1,8,2,6,29,695,74.5,64,42.7,0,,29,4,1,0,0,34,43,25,9,70,29,1,0.75,1,1.33,2,2.08
lenny-joseph/1010126,https://www.transfermarkt.com/lenny-joseph/profil/spieler/815359,Lenny Joseph,23/24,Ligue 2,Right Winger,lenny-joseph_1010126_23-24_Ligue2.png,36,2638,3,4,6.84,36,3,53,24,18,36,4,32,7,51,36,609,72.3,32,65.3,2,7.7,36,4,2,0,0,21,56,34,3,79,36,3,,4,,7,
lenny-vallier/878283,https://www.transfermarkt.com/lenny-vallier/profil/spieler/371148,Lenny Vallier,24/25,Ligue 2,Left-Back,lenny-vallier_878283_24-25_Ligue2.png,21,1452,0,2,7.02,21,0,11,2,2,21,2,12,3,24,21,657,87.5,32,61.5,9,15.5,21,4,2,0,0,5,33,15,6,17,21,0,,2,,2,
lenny-vallier/878283,https://www.transfermarkt.com/lenny-vallier/profil/spieler/371148,Lenny Vallier,22/23,Ligue 2,Left-Back,lenny-vallier_878283_22-23_Ligue2.png,27,2233,1,0,6.73,27,1,7,1,0,27,0,12,1,29,27,725,81.2,37,45.7,15,20.0,27,3,3,0,0,21,61,31,7,27,27,1,,0,,1,
leo-baptistao/252857,https://www.transfermarkt.com/leo-baptistao/profil/spieler/221899,Leo Baptistao,16/17,LaLiga,Centre-Forward,leo-baptistao_252857_16-17_LaLiga.png,21,1429,6,4,6.91,21,6,34,21,5,21,4,14,3,19,21,254,70.9,9,52.9,5,23.8,21,0,1,0,0,18,19,12,1,17,21,6,,4,,10,
leo-baptistao/252857,https://www.transfermarkt.com/leo-baptistao/profil/spieler/221899,Leo Baptistao,15/16,LaLiga,Centre-Forward,leo-baptistao_252857_15-16_LaLiga.png,26,1257,3,1,6.66,26,3,32,9,7,26,1,7,1,22,26,240,66.9,8,72.7,3,10.3,26,3,1,0,0,11,15,6,2,21,26,3,,1,,4,
