sofascore_slug,transfermarkt_url
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
abdoullah-ba/1000139,https://www.transfermarkt.com/abdoullah-ba/profil/spieler/654412
abdukodir-khusanov/1194333,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079
abdullahi-ahmed/1442017,https://www.transfermarkt.com/abdul-ahmed/profil/spieler/970171
adam-aznou/1466124,https://www.transfermarkt.com/adam-aznou/profil/spieler/938146
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847
adam-wharton/1109771,https://www.transfermarkt.com/adam-wharton/profil/spieler/744149
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103
agyei-enock/1195757,https://www.transfermarkt.com/enock-agyei/profil/spieler/724041
aaron-ramsdale/839410,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568
alejandro-garnacho/1135873,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779
alex-cairns/162417,https://www.transfermarkt.com/alex-cairns/profil/spieler/194386
alex-iwobi/352770,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
alex-jimenez/1184308,https://www.transfermarkt.com/alex-jimenez/profil/spieler/741257
alex-murphy/1125214,https://www.transfermarkt.com/alex-murphy/profil/spieler/900601
alex-scott/1104986,https://www.transfermarkt.com/alex-scott/profil/spieler/855256
alexander-isak/823941,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
alexis-mac-allister/895324,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033
alisson/243609,https://www.transfermarkt.com/alisson/profil/spieler/105470
alphonse-areola/96531,https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629
altay-bayindir/815890,https://www.transfermarkt.com/altay-bayindir/profil/spieler/336077
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706
amine-adli/991478,https://www.transfermarkt.com/amine-adli/profil/spieler/532776
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600
andres-garcia/1457536,https://www.transfermarkt.com/andres-garcia/profil/spieler/1063329
andrew-robertson/262911,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803
andy-irving/845464,https://www.transfermarkt.com/andrew-irving/profil/spieler/430310
angus-gunn/227946,https://www.transfermarkt.com/angus-gunn/profil/spieler/201574
anthony-elanga/979232,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189
anthony-patterson/958718,https://www.transfermarkt.com/anthony-patterson/profil/spieler/475946
antoine-semenyo/934354,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255
anton-stach/889861,https://www.transfermarkt.com/anton-stach/profil/spieler/344069
antonee-robinson/803174,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701
antoni-milambo/1126692,https://www.transfermarkt.com/antoni-milambo/profil/spieler/683620
antonin-kinsky/1031251,https://www.transfermarkt.com/antonin-kinsky/profil/spieler/725912
ao-tanaka/871886,https://www.transfermarkt.com/ao-tanaka/profil/spieler/489359
archie-gray/1142335,https://www.transfermarkt.com/archie-gray/profil/spieler/922693
armando-broja/996985,https://www.transfermarkt.com/armando-broja/profil/spieler/571743
arnaud-kalimuendo/954061,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200
axel-disasi/827243,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047
axel-tuanzebe/817979,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046
bafode-diakite/962408,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605
balcombe-ellery/860205,https://www.transfermarkt.com/ellery-balcombe/profil/spieler/456292
bart-verbruggen/994363,https://www.transfermarkt.com/bart-verbruggen/profil/spieler/565093
bashir-humphreys/996910,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517
ben-davies/94758,https://www.transfermarkt.com/ben-davies/profil/spieler/192765
ben-doak/1154861,https://www.transfermarkt.com/ben-gannon-doak/profil/spieler/719673
benjamin-arthur/1500529,https://www.transfermarkt.com/benjamin-arthur/profil/spieler/1144158
benjamin-lecomte/123207,https://www.transfermarkt.com/benjamin-lecomte/profil/spieler/127181
benjamin-sesko/986397,https://www.transfermarkt.com/benjamin-sesko/profil/spieler/627442
benjamin-white/846036,https://www.transfermarkt.com/ben-white/profil/spieler/335721
benoit-badiashile/904827,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641
bernd-leno/103335,https://www.transfermarkt.com/bernd-leno/profil/spieler/72476
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996
beto/987489,https://www.transfermarkt.com/bebeto/profil/spieler/26541
blondy-nna-noukeu/1007038,https://www.transfermarkt.com/blondy-nna-noukeu/profil/spieler/696892
bogle-jayden/929132,https://www.transfermarkt.com/jayden-bogle/profil/spieler/465717
borna-sosa/357584,https://www.transfermarkt.com/borna-sosa/profil/spieler/293194
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327
bradley-conor/1008402,https://www.transfermarkt.com/conor-bradley/profil/spieler/624258
brenden-aaronson/973431,https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323
brennan-johnson/1085180,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607
bruno-fernandes/288205,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306
bruno-guimaraes/866469,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624
bryan-mbeumo/927083,https://www.transfermarkt.com/bryan-mbeumo/profil/spieler/413039
bukayo-saka/934235,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177
caleb-kporha/1465401,https://www.transfermarkt.com/caleb-kporha/profil/spieler/1047261
callan-mckenna/1214988,https://www.transfermarkt.com/callan-mckenna/profil/spieler/983248
callum-hudson-odoi/867442,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768
callum-wilson/113956,https://www.transfermarkt.com/callum-wilson/profil/spieler/123682
calvin-bassey/861972,https://www.transfermarkt.com/calvin-bassey/profil/spieler/461883
caoimhin-kelleher/827362,https://www.transfermarkt.com/caoimhin-kelleher/profil/spieler/340918
carl-junior-robinson/2064342,https://www.transfermarkt.com/junior-robinson/profil/spieler/670841
carlos-alcaraz/1017392,https://www.transfermarkt.com/carlos-alcaraz/profil/spieler/748319
casemiro/122951,https://www.transfermarkt.com/casemiro/profil/spieler/16306
chadi-riad/1064218,https://www.transfermarkt.com/chadi-riad/profil/spieler/689637
cheick-doucoure/906047,https://www.transfermarkt.com/cheick-doucoure/profil/spieler/543387
chemsdine-talbi/1142675,https://www.transfermarkt.com/chemsdine-talbi/profil/spieler/743384
chido-obi/1566204,https://www.transfermarkt.com/chido-obi/profil/spieler/1042886
