sofascore_slug,transfermarkt_url,lig,sezon,etiket
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,24/25,Right-Back
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,23/24,Right-Back
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,22/23,Right-Back
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,21/22,Right-Back
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,20/21,Right-Back
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,19/20,Right-Back
aaron-wan-bissaka/863653,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,18/19,Right-Back
abdukodir-khusanov/1194333,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079,Vysheyshaya Liga,2022,Centre-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,24/25,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,23/24,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,22/23,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Championship,21/22,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Championship,20/21,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,19/20,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,17/18,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,16/17,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,15/16,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Championship,12/13,Right-Back
adam-smith/44566,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Premier League,18/19,Left-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Premier League,23/24,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Premier League,22/23,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Premier League,21/22,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Premier League,20/21,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Premier League,19/20,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Championship,18/19,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Championship,17/18,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Championship,16/17,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,League Two,15/16,Centre-Back
adam-webster/216308,https://www.transfermarkt.com/adam-webster/profil/spieler/212847,Conference,13/14,Centre-Back
adam-wharton/1109771,https://www.transfermarkt.com/adam-wharton/profil/spieler/744149,Premier League,24/25,Defensive Midfield
adam-wharton/1109771,https://www.transfermarkt.com/adam-wharton/profil/spieler/744149,Championship,23/24,Defensive Midfield
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,Premier League,22/23,Right Winger
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,Premier League,20/21,Right Winger
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,Premier League,19/20,Right Winger
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,Championship,17/18,Right Winger
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,Premier League,16/17,Right Winger
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,2ª División,14/15,Right Winger
adama-traore/286165,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,2ª División,13/14,Right Winger
alejandro-garnacho/1135873,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779,Premier League,23/24,Left Winger
alejandro-garnacho/1135873,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779,Premier League,24/25,Attacking Midfield
alex-iwobi/352770,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,Premier League,24/25,Left Winger
alex-iwobi/352770,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,Premier League,18/19,Left Winger
alex-iwobi/352770,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,Premier League,22/23,Central Midfield
alex-murphy/1125214,https://www.transfermarkt.com/alex-murphy/profil/spieler/900601,First Division,2022,Left-Back
alex-murphy/1125214,https://www.transfermarkt.com/alex-murphy/profil/spieler/900601,Premier League 2,22/23,Centre-Back
alex-scott/1104986,https://www.transfermarkt.com/alex-scott/profil/spieler/855256,Championship,22/23,Central Midfield
alexis-mac-allister/895324,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,Premier League,24/25,Defensive Midfield
alexis-mac-allister/895324,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,Premier League,23/24,Defensive Midfield
alexis-mac-allister/895324,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,Premier League,21/22,Attacking Midfield
alexis-mac-allister/895324,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,Premier League,22/23,Defensive Midfield
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,Premier League,24/25,Defensive Midfield
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,Ligue 1,21/22,Defensive Midfield
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,2. Bundesliga,20/21,Defensive Midfield
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,U19-Bundesliga S/SW,19/20,Defensive Midfield
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,Premier League,23/24,Central Midfield
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,Premier League,22/23,Central Midfield
amine-adli/991478,https://www.transfermarkt.com/amine-adli/profil/spieler/532776,Ligue 2,20/21,Second Striker
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,J1 League,2020,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,J1 League,2019,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,16/17,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,15/16,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,14/15,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,13/14,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,12/13,Central Midfield
